,pcord_id,notes
109,1000280,"Some pendants have colored threads introduced during the plying, producing a change of color down the length of the string.  This is not a spike.  The threads are camelid with vivid red."
110,1000281,Pendant 13 passes through the looped end of khipu UR117B.  The beginning of this cord is broken with no primary cord in the space.  The measurements are read as the khipu is mounted.
111,1000282,Connected to pendant #13 of UR117A.  Knot and connection with UR117C at 34.0 cm.
112,1000283,The doubled beginning of this cord interlocks with UR117B at 34.0 cm of UR117B.
113,1000284,The doubled beginning of this cord connects with UR117C.
114,1000286,All of the top cords are looped through the attachments of their group pendants.  The pendants in group T15 (89-94) have a very pale blue color that probably was originally darker.
115,1000288,-The beginning of this cord is ravelled with a knot connecting it to UR56B. -Another connecting knot to UR56B occurs at 4.5 cm. -The primary cord is broken after pendant cord #6. -Pendant cord #7 is held on by a loop of modern string. -It is not possible to determine the original attachment.
116,1000289,Khipu UR56C is lashed onto this khipu beginning at 29.0 cm until the end at 36.0 cm.
117,1000291,The termination end of this khipu is ravelled/broken.
118,1000292,UR58A and UR58B appear to be two parts of a once much larger khipu containing some 106 cords (58 + 48 = 106).
119,1000294,Attached to UR131A and UR131C.
120,1000296,"at twisted (doubled) end, khipu is spliced to UR028.  "
121,1000299,"Knot which joins UR024 to URo20 is at 30.5 cm from ""beginning"" end. "
122,1000300,"At beginning end, pCord is knotted to UR024.  At the other end, it is knotted to other khipu.  (Which one?)"
123,1000301,At 1.5 cm the cord is knotted with UR023.  The termination end is knotted and raveled.
124,1000302,Thickness = 0.15
125,1000303,Thickness = 0.21 cm
126,1000304,thickness = 0.22 cm
127,1000305,thickness = 0.13 cm
128,1000306,thickness = 0.28 cm
129,1000319,"Between 15 - 28.5 cm, primary cord bears knots: 15 - 18.5 = 7s (Z) 26.5 - 28.5 = 4s (Z)"
130,1000320,Top Cord T24 and cords 144-149 are not attached.  They have been included here to preserve linearity of the khipu.
131,1000321,"Main cord has three strands, each s-spun/z-ply; all three final ply = S."
132,1000323,Beginning knot at 3.0 cm.
133,1000330,This khipu has an unusual structure.  Illustration is given
134,1000337,Primary cord tied into a loop.
135,1000338,Primary cord tied into a loop.
136,1000344,"Primary cord is knotted: 1s (31.5/s), 4s(37.5/s), 8L(44.0/s).  148"
137,1000365,"Thickness is the average of four readings: 4.6, 2.79, 4.7, 3.5.   There is a knot in the primary cord from 6.0 - 7.5 and another one from 32.0 - 33.0.    repair knot at 69.cm"
138,1000352,"Structure of primary cord is a 4-sided braid.  Beginning and end descriptions are not noted.  Number of elements in braid unknown.  From 3.0 to 3.5 cm, there is a thread wrapping of MB.  "
139,1000366,thickness listed as .22-.25
140,1000367,thickness = .08-.11
141,1000368,thickness listed as : 4.7/3.5/4.3
142,1000369,"Beginning: ""needlework bundle"":  wrapping in brown and white stripes of ~.5cm ea. Wrapped over a core of cords.   End: Needlework bundle, some evidence of tassel in yellow gold. Most of the wrapping is disintegrated.   Structure: Weft wrapped in stripes of KB and W or AB (prob. natural camelid colors)    Thickness: .62/.67/.69"
143,1000370,Structure: braided (over a core) Thickness: .55/.54/.62
144,1000371,Thickness: 6.3/6.27/6.5 (mm?)
145,1000372,Thread wrapped with colored camelid threads 0.0-2.0
146,1000376,end: knotted with twisted tail
147,1000378,The last pendant is attached through the twisted end of the cord and falls at the very end. How  can a cord have two twisted ends? We were unable to determine...
148,1000380,broken @ 7.ocm
149,1000381,Begins with a wrapped end (2cm); to fiirst cord group=4.5cm
150,1000385,"3 elements, each with many single plies thickness: .53/.44 - only two plies"
151,1000387,"No length specified... last group at 31.0cm, 3 cords, and space of 3.0cm  thickness: .25/.28"
152,1000388,thickness: .35/.44/.38
153,1000390,Thickness: .47/.45  3 elements. lots of plies in each. Wrapping at each end.  0.0-2.0 cm wrapping / 25.5-28.5 cm wrapping
154,1000391,Dark brown almost entirely disintegrated. Remaining primary cord almost entirely covered by pendants. Broken both ends.
155,1000393,twisted end
156,1000395,thickness: .19/.15
157,1000398,thickness: .26/.20/.17
158,1000400,thickness: .25/.26/.25
159,1000402,Thickness: .31/.38
160,1000403,"thickness: .17/.21/.22/.15 Marker at 69 cm--pice of braided cord inserted through one play of primary cord At 17 cm--broken, stitched back together"
161,1000404,thickness: .38/.35/.38 thread wrapping: .5cm - 2.5 cm  primary cord: 4-sided square braid.  Bright red camelid some thread wrappings might be cotton or vegetal fiber canuto thickness .48
162,1000437,0.0-1.5 cm ravelled end to thread-wrap (AB)
163,1000456,Group 2:  looped top cord around entire group and another around 18.  Group 4:  top cord wrapped around group.
164,1000457,No information provided for primary cord; total length estimated.
165,1000458,possibly vegetal fiber in the last 8.0 cm
166,1000477,"KNOTS ON MAINCORD:   long knot on main cord, 8L (9.0/Z) u  group of single knots, 5S (44.0/Z)"
167,1000469,"Space of 6.0 cm to knot, space of 7.5 cm from knot to cord group."
168,1000475,"Primary Cord looks to be four khipus knotted together.  For the purposes of this data entry, we assume that it is one primary cord looped into four sections, which we have entered as looped pendant cords with subsidiary cords.  Please refer to original record sheet for drawing.  "
