,cord_id,cord_notes
136,3002546,Señal #1 del cordon principal se compose de un hilo rojo y blanco amanada en el cor. prin.
137,3002550,56.0 cm señal rojo
138,3002556,32.0 cm señal RMB
139,3002562,40.0 cm señal rojo
140,3002566,Señal #2 es de un hilo rojo
141,3002575,40.0 cm señal rojo
142,3002576,32.0 cm señal rojo
143,3002580,36.0 cm señal rojo
144,3002584,30.0 cm señal rojo
145,3002588,39.0 cm señal rojo
146,3002589,Señal #3 es de un hilo rojo
147,3002593,30.0 cm señal rojo
148,3002594,Señal #4 es de un hilo rojo y negro
149,3002602,Colors listed as BL:W (6.0) / BL:W con hilos rojo y amarillo
150,3002603,Señal #5 es de un hilo rojo y blanca
151,3002609,27.0 cm señal rojo
152,3002610,Señal #6 es de un hilo rojo y blanca
153,3002613,Señal #7 es de un hilo rojo
154,3002614,Subsidiary 65s1 ties pendants 65 and 66 together.
155,3002615,Subsidiary 65s1 ties pendants 65 and 66 together.
156,3002616,28.5 cm señal rojo
157,3002617,Señal #8 es de un hilo rojo.
158,3002618,Tied to pendant 69.  Length approx 29.0 cm.
159,3002619,Tied to pendant 68.  Length approx 42.5 cm.
160,3002620,Subsidiary T1s1 ties pendants T1 and T2 together.
161,3002621,Subsidiary T1s1 ties pendants T1 and T2 together.
162,3002622,35.0 cm señal roja
163,3002623,Señal #9 es de un hilo rojo.
164,3002633,34.5 cm señal roja
165,3002636,Attachment listed as r?
166,3002658,This subsidiary ties pendants 65 and 66 together (at 0.5 cm on both pendants).
167,3002659,This subsidiary ties pendants T1 and T2 together (at 0.5 cm on both pendants).
168,3002697,"Subsidiary pendant 95s6 is missing from the notes, however, the follow pendant (96) was recorded as 96s6 and could perhaps be the data for 95s6.  "
169,3002752,Largo = 34.0??
170,3002770,"Por falta del tiempo, terminé la anotación de nudos en este punto"
171,3002784,"Values of c6 thru c26 is equal to 59, which matches UR6 value"
172,3002805,"Pendants 2735 are a group which ""enlacado dentro cordon principal"""
173,3002811,"Cumulative values of c33 thru c35 is 121, which matches UR6 values"
174,3002818,"c40 thru c53 cumulative value is 52, which is equal to corresponding UR6 value"
175,3002822,Groupo anudado (por los pendientes 44 y 46).  Length ca. 18.0 cm
176,3002823,Groupe anudado (por los pendientes #44 y 46).  Length ca. 16.0 cm
177,3002824,Groupo anudado (por los pendientes #44 y 46).  Length ca. 24.0 cm
178,3002831,Pen #53 enlacado en cor. princ.
179,3002833,Groupo (5660) anudado (por el pen. #56)  Like LP on UR6?
180,3002834,Groupo (5560) anudado (por el pen #56)
181,3002835,See Pen 55 for note
182,3002836,See Pen 55 for note
183,3002837,See Pen 55 for note
184,3002838,See Pen 55 for note
185,3002850,anudado en el c.p.
186,3002863,Groupo (8590) anudado (por pen. #85)
187,3002864,See note with pen 85
188,3002865,See note with pen 85
189,3002866,See note with pen 85
190,3002867,See note with pen 85
191,3002868,See note with pen 85
192,3002877,"values of pendants 99 thru 121 = 57, matches UR6 value"
193,3002902,"Questionable whether the second knot is actually an sknot or simply the final ending knot of the cord.  Adriana von Hagen says Z knot, July 30 2004"
194,3002912,untied figure 8 knot?
195,3002932,Desanadado
196,3002933,Desanadado
197,3002934,Desanadado
198,3002937,Desanadado
199,3002938,Desanadado
200,3002939,Desanadado
201,3002958,Nudo en cordón principal con una borla
202,3002963,de lana
203,3002981,"The S knot is very low on the string, could be an extra termination knot. "
204,3002984,Questionable whether the sknot is an actual sknot or merely an extra end knot on the cord.
205,3002988,Nudo en cordón principal con una borla
206,3002989,"Pen 4853, seis pen. unidos en un solo nudo"
207,3002990,"Pen 4853, seis pen. unidos en un solo nudo"
208,3002991,"Pen 4853, seis pen. unidos en un solo nudo"
209,3002992,"Pen 4851, seis pen. uni dos en un solo nudo."
210,3002993,"Pen 4853, seis pen. unidos en un solo nudo"
211,3002994,"Pen 4853, seis pen. unidos en un solo nudo"
212,3003010,pelo humano
213,3003019,Un nudo del cordon principal
214,3003020,Un nudo del cordon principal
215,3003027,"Note: misrecording possible in the knots, which were recorded as ""1s (9.5/Z); 5L (7.0/Z)""    July 30, 2004 Adriana von Hagen states knots should be: ""1s (9.5/Z); 5L (17.0/Z)"""
216,3003029,Un nudo en el cordon principal
217,3003039,Un nudo en el cordon principal
218,3003040,Una borla
219,3003063,Un nudo en el cordon principal
220,3003064,pelo humano
221,3003073,Un nudo en el cordon principal
222,3003089,Hilos envolviendo el cordon principal
223,3003102,Un nudo con borla con pendiente anillado en ambos lados
224,3003109,"Possibly termination is ""knotted"" and knot (recorded as 1E/S) is actually the termination knot.   July 30 2004, Adriana von Hagen states there is an E knot at 20 cms; there is also an end knot. "
225,3003118,pelo humano
226,3003127,Nudo en el cordon principal con su propio pendiente (M12s1) (called SP1 in notes)
227,3003137,Un nudo en el cordon principal
228,3003138,Una borla con hilos enlacandao el cordon principal
229,3003161,Una borla en el cordon principal
230,3003162,Un nudo en el cordon principal
231,3003171,Un nudo en el cordon principal
232,3003179,Hilos envolviendo el cordon principal
233,3003194,(cabello)
234,3003203,Hilos envolviendo el cordon principal
235,3003213,(lana?)
236,3003219,Una borla en el cordon principal
237,3003234,(cabello?)
238,3003242,Un nudo en el cordon principal
239,3003253,Un nudo en el cordon principal
240,3003254,(lana?)
241,3003262,Hilos envolviendo el cordon principal
242,3003263,(lana?)
243,3003270,Hilos envolviendo el cordon principal
244,3003275,(Cabello?)
245,3003284,Un hilo en cordon principal
246,3003285,(lana?)
247,3003288,(lana?)
248,3003291,Un hilo que envuelve el cordon principal
249,3003300,Hilos envolviendo el cordon principal
250,3003306,Hilo en volviendo el cordon principal
251,3003307,(cabello?)
252,3003316,Hilos envolviendo el cordon principal
253,3003322,Hilos envolviendo el cordon principal
254,3003364,(lana?)
255,3003365,juntados en un nudo (with 386)
256,3003366,Juntados en un nudo (with 385)
257,3003500,Nudo en el cordon principal
258,3003727,"Note: pendant listed as ""279 (top?)"""
259,3003775,Hilos envolviendo el cordon principal
260,3003845,Un nudo de los hilos de TPA2 envolviendo el c.p.
261,3003915,Un nudo que se compone de los hilos del PA19
262,3003939,Un nudo en el cordon principal
263,3003963,"Un nudo en el c.p., hecho por los hilos del pen. anill."
264,3004001,"Termination notated as ""loop"""
265,3004002,"Termination notated as ""loop"""
266,3004326,Called SP1 in notes
267,3004334,(cabello?)
268,3004389,"Extension, attached in end knot of main cord.  Length extrapolated from last measurement from a cord group (13.5 cm) plus space (45.5 cm) plus approx length of the cord group (1.0 cm)."
269,3004390,Pendant 1 is loosely tied (perhaps by looters).
270,3004461,"Attachment notated ""? (loose)"""
271,3004512,Pendant 120 has a complex attachment to main cord; attachment is doubled around cord and knotted.
272,3004539,(knot untied)
273,3004618,"This pendant is refered to as L1 in notes .  It terminates in MB string, tied in knot with 11.0 cm of string extending either side of the knot.  It is attached to the main cord on either side of knot K10 (M10 in notes).  Length was not given."
274,3004619,This knot in the main cord is surrounded on both sides by pendant PA1 (picture in notes).
275,3004620,Pendant 220 is tied around the main cord and extends from it with 20 (pendant stringlike) subsidiaries pendant from it.  (See picture in notes.)
276,3004626,Thread tied in string at 23.0 cm.
277,3004689,"Loop pendant 286 is a string looped twice around the main cord, carried 21 subsidiaries (picture in notes).  Called ""LP286"" in notes."
278,3004749,(loose pendant)
279,3004796,In notes as Ex1
280,3004797,In notes as Ex2
281,3004798,In notes as Ex3
282,3004799,In notes as Ex4
283,3004800,In notes as Ex5
284,3004801,In notes as Ex6
285,3004802,In notes as Ex7
286,3004803,In notes as Ex8
287,3004804,In notes as Ex9
288,3004805,In notes as Ex10
289,3004806,In notes as Ex11
290,3004807,In notes as Ex12
291,3004808,In notes as Ex13
292,3004809,In notes as Ex14
293,3004810,In notes as Ex15
294,3004811,In notes as Ex16
295,3004812,In notes as Ex17.  Ex 17 has a complex end knot in which an additional thred is tied into knot; string terminates in 2 tails.
296,3004851,L1 in notes.
297,3004852,L2 in notes.
298,3004853,L3 in notes.
299,3004854,L4 in notes.
300,3004855,L5 in notes.
301,3004856,L6 in notes.
302,3004857,L7 in notes.
303,3004858,L8 in notes.
304,3004859,L9 in notes.
305,3004860,L10 in notes.
306,3004861,L11 in notes.
307,3004862,L12 in notes.
308,3004863,L13 in notes.
309,3004864,L14 in notes.
310,3004865,L15 in notes.
311,3004866,L16 in notes.
312,3004983,This pendant might also be a top cord.
313,3004989,This pendant might also be a top cord.
314,3004991,"This is ""Cord B"" from the publication.  The termination is twisted."
315,3004998,"This is pendant ""12"" from the publication.  This cord is broken at 0.50 cm.  If a portion of the cord is missing, the knot cluster is lower than 4.5 and the length greater than 10.5 cm."
316,3005020,1s knot on primary cord
317,3005021,Construction note: The attachment is loose so that the pendant is movable.  It may be associated with the first group of pendants.
318,3005052,Construction note: The pendant attachment is irregular.
319,3005087,"Note: this cord is listed as having a subsidiary cord (1:27.0) but then no cord is given.  68 is not listed as having a subsidiary, but then 68s1 is included in the list.  Thus, the attachment of 27.0 cm has been transfered to pendant 68."
320,3005091,Construction note: This pendant is formed into a loop at 26.0 cm.
321,3005103,Construction note: This top cord is tied through the pendants (7782) so that it emanates from the right side of the pendant group.  All other top cords on this quipu are tied so that they emanate from the left side of the pendant group.
322,3005104,This top cord is tied through pendants 8388 and emanates from the left side of the pendant group.
323,3005111,This top cord is tied through pendants 8994 and emanates from the left side of the pendant group.
324,3005118,This top cord is tied through pendants 95100 and emanates from the left side of the pendant group.
325,3005125,This top cord is tied through pendants 101106 and emanates from the left side of the pendant group.
326,3005132,This top cord is tied through pendants 107112 and emanates from the left side of the pendant group.
327,3005139,This top cord is tied through pendants 113118 and emanates from the left side of the pendant group.
328,3005146,This top cord is tied through pendants 119124 and emanates from the left side of the pendant group.
329,3005153,This top cord is tied through pendants 125130 and emanates from the left side of the pendant group.
330,3005160,This is the attachment point for khipu AS207B or AS207C.
331,3005161,This is the attachment point for khipu AS207B or AS207C.
332,3005162,This top cord is tied through pendants 131136 and emanates from the left side of the pendant group.
333,3005197,"A 3.0 cm cord fragment found with this group is color KB:w and has 1E knot at 1.0 cm.  It is probably part of pendant 165, 167, or 168."
334,3005199,"A 3.0 cm cord fragment found with this group is color KB:w and has 1E knot at 1.0 cm.  It is probably part of pendant 165, 167, or 168."
335,3005200,"A 3.0 cm cord fragment found with this group is color KB:w and has 1E knot at 1.0 cm.  It is probably part of pendant 165, 167, or 168."
336,3005214,Construction note: The pendant appears to have been added after the quipu was completed.  The other pendants in the group are tight and immediately adjacent to each other.  This pendant is tied over them and tightly attached.  Although listed as a subsidi
337,3005225,"M1, M2, and M3 are exceptionally thick cords.  M2 is attached as follows (picture p. 61 Ascher and Ascher 1987)."
338,3005226,"M1, M2, and M3 are exceptionally thick cords."
339,3005229,No measurement is given for the attachment of 194s1.
340,3005327,"(Possibly a top cord, see note on pendant 182.)"
341,3005333,No measurement is given for the attachment of 194s1.
342,3005350,"This pendant is broken at 12.5 cm.   However, this is the only place the fragment could have come from and so is assumed to be part of this pendant.  "
343,3005392,Two cord fragments were found associated with the first group of pendants.  They are both DB.  One is broken at both ends with a cluster of 2s at 1.0 cm from one end and an overall length of 3.5 cm.  The other has an overall length of 38.5 cm.  Beginning 
344,3005394,Two cord fragments were found associated with the first group of pendants.  They are both DB.  One is broken at both ends with a cluster of 2s at 1.0 cm from one end and an overall length of 3.5 cm.  The other has an overall length of 38.5 cm.  Beginning 
345,3005405,Two cord fragments were found associated with the first group of pendants.  They are both DB.  One is broken at both ends with a cluster of 2s at 1.0 cm from one end and an overall length of 3.5 cm.  The other has an overall length of 38.5 cm.  Beginning 
346,3005440,"A cord fragment was found associated with the group of pendants 2735.  The fragment is color KB.  It is broken at both ends with a knot cluster of 4L at 1.5 cm from one end.  Its overall length is 17.5 cm.  It is probably a part of 31s1, 32s1, 33s1, or 35"
347,3005441,"A cord fragment was found associated with the group of pendants 2735.  The fragment is color KB.  It is broken at both ends with a knot cluster of 4L at 1.5 cm from one end.  Its overall length is 17.5 cm.  It is probably a part of 31s1, 32s1, 33s1, or 35"
348,3005442,"A cord fragment was found associated with the group of pendants 2735.  The fragment is color KB.  It is broken at both ends with a knot cluster of 4L at 1.5 cm from one end.  Its overall length is 17.5 cm.  It is probably a part of 31s1, 32s1, 33s1, or 35"
349,3005445,"A cord fragment was found associated with the group of pendants 2735.  The fragment is color KB.  It is broken at both ends with a knot cluster of 4L at 1.5 cm from one end.  Its overall length is 17.5 cm.  It is probably a part of 31s1, 32s1, 33s1, or 35"
350,3005473,Three cord fragments were found associated with the last group of pendants.  All are color KB.  One is just a cluster of 3s.  Another is a cluster of 9L and then 2.0 cm.  Both of these are broken at both ends.  The last is 5.0 cm with one broken and one f
351,3005474,Three cord fragments were found associated with the last group of pendants.  All are color KB.  One is just a cluster of 3s.  Another is a cluster of 9L and then 2.0 cm.  Both of these are broken at both ends.  The last is 5.0 cm with one broken and one f
352,3005494,(See note 1 in 'general information' re: possible cord fragment tied between pendants 18 and 19.)
353,3005495,(See note 1 in 'general information' re: possible cord fragment tied between pendants 18 and 19.)
354,3005511,A discoloration on the main cord suggests that another pendant was once attached just after P35.
355,3005512,A discoloration on the main cord suggests that another pendant was once attached just after P35.
356,3005590,"Cord begins broken,  Construction note: This pendant was tied loosely around the main cord in the space between pendants 44 and 45.  This is not an original attachment and the top portion of the pendant is clearly broken.  A small space on the main cord b"
357,3005608,See note on primary cord regarding cords tied between pendants 61 and 62.
358,3005609,See note on primary cord regarding cords tied between pendants 61 and 62.
359,3005627,"Length written as ""_3.5 (cent sign)"""
360,3005662,1s1 is broken at 5.0 cm and a 14.0 cm cord fragment has been affixed below it.  The fragment may not be from this position.
361,3005663,2s1 is broken at 4.0 cm and a 13.0 cm fragment has been affixed below it and another 9.0 cm fragment below that.  The two lower fragments appear to belong together but may not be from this position.
362,3005664,3s1 is broken at 4.0 cm and a 21.0 cm fragment has been affixed below it.  The fragment appears to be in its original position.
363,3005671,"Color = ""?"""
364,3005684,Pendant 5 has a kink at 8.0 cm that appears to correspond to a 1s knot that was untied (not recent).
365,3005688,Pendant 9 has a kink at 18.5 cm that appears to correspond to a 2L knot that was untied (not recent).
366,3005692,Pendant 13 has a kink at 15.5 cm that appears to correspond to a 2L knot that was untied (not recent).
367,3005693,Pendant 14 has a kink at 14.5 cm that appears to correspond to a 1E knot that was untied (not recent).
368,3005694,Pendant 15 has a kink at 15.0 cm that appears to correspond to a 3L knot that was untied (not recent).
369,3005700,"This fragment is broken on the ""beginning"" end."
370,3005701,"This fragment is broken on the ""beginning"" end."
371,3005803,Pendants 62 and 63 are tied together at 25.5 cm.
372,3005804,Pendants 62 and 63 are tied together at 25.5 cm.
373,3005866,Regarding the knot: this is either an Stied longknot (which would be very unusual) or an Stied E (figure 8) knot; probably the latter.
374,3006003,Construction note: The twisted end of cord 1 is linked through the twisted end of the main cord so that it dangles from the end of the main cord (picture Ascher and Ascher 1987:697).
375,3006130,"2L nudo = ""nudo extra?a"""
376,3006164,Length approx 31.0 cm.  Estas dos estan anudados (A4042)
377,3006165,Estas dos estan anudados (A4042)
378,3006166,Length is approx 39.0 cm.  Estas dos estan anudados (A4042)
379,3006193,roto y atado por quien?  Length approx 44.0
380,3006228,"Atado = ""r?"""
381,3006285,Uncertain whether the 1s knot is an actual numerical knot or simply the end knot of the cord.
382,3006308,"Second note listed as ""2L (47.0/2)"""
383,3006360,"Attachment = ""?r"""
384,3006386,"See drawing pg. 19 in notes for picture of Lado F with ""nudo de amarra"" on F2"
385,3006689,"This ""cord"" is actually one end of the primary cord.  It is unclear whether this is the beginning or the ending (and what the ""length"" is measuring)."
386,3006691,This group of cords (4144) is looped over and attached to BOTH ends of the primary cord.
387,3006692,This group of cords (4144) is looped over and attached to BOTH ends of the primary cord.
388,3006693,This group of cords (4144) is looped over and attached to BOTH ends of the primary cord.
389,3006694,This group of cords (4144) is looped over and attached to BOTH ends of the primary cord.
390,3006695,"This ""cord"" is actually one end of the primary cord.  It is unclear whether this is the beginning or the ending (and what the ""length"" is measuring)."
391,3007095,This string ties the primary cord to itself between pendants 23/24 and 29/30.
392,3007099,This string ties the primary cord to itself between pendants 20/21 and 32/33.
393,3007178,"The 8s knot was recorded and drawn by Gary Urton as having ""2z/4s"" knots.  It is most likely to have meant ""2z/6s"""
394,3007193,"The 8L is possibly a 9L.  (""9?"")"
395,3007718,"Value listed as ""0+5"""
396,3007951,"Knots listed as ""3s (4.5); 5s (9.5); 5s (20.5)"" with value ""355."""
397,3007975,"Value listed as ""423(?)"""
398,3007984,"Cord 1 is not a regular pendant attachment.  The twisted end of the cord is linked through the strands of the main cord.  Thus, its attachment to the main cord would have to precede its being twisted and end knotted.  (See Ascher and Ascher 1987:793)"
399,3008007,Subsidiaries 4s1 and 5s1 appear to be extensions of the pendant cord as pendants 45 terminate just below the subsidiary attachment and both lack unit knot clusters.
400,3008008,Subsidiaries 4s1 and 5s1 appear to be extensions of the pendant cord as pendants 45 terminate just below the subsidiary attachment and both lack unit knot clusters.
401,3008011,Subsidiaries 4s1 and 5s1 appear to be extensions of the pendant cord as pendants 45 terminate just below the subsidiary attachment and both lack unit knot clusters.
402,3008012,Subsidiaries 4s1 and 5s1 appear to be extensions of the pendant cord as pendants 45 terminate just below the subsidiary attachment and both lack unit knot clusters.
403,3008051,The twisted end of cord 1 is linked through the twisted end of the main cord so that it dangles from the end of the main cord.  (See diagram for AS100.)
404,3008111,"This group (pendants 5160) is Zply, Swrapped with a pair of Br & W threads."
405,3008112,"This group (pendants 5160) is Zply, Swrapped with a pair of Br & W threads."
406,3008113,"This group (pendants 5160) is Zply, Swrapped with a pair of Br & W threads."
407,3008114,"This group (pendants 5160) is Zply, Swrapped with a pair of Br & W threads."
408,3008115,"This group (pendants 5160) is Zply, Swrapped with a pair of Br & W threads."
409,3008116,"This group (pendants 5160) is Zply, Swrapped with a pair of Br & W threads."
410,3008117,"This group (pendants 5160) is Zply, Swrapped with a pair of Br & W threads."
411,3008118,"This group (pendants 5160) is Zply, Swrapped with a pair of Br & W threads."
412,3008119,"This group (pendants 5160) is Zply, Swrapped with a pair of Br & W threads."
413,3008449,"Aschers notated this knot as ""4L"" but listed the value as ""6""."
414,3008473,"According to the diagram, this knot appears on the main cord after all the pendants, before the broken end of the main cord."
415,3008484,The main cord is tied to the main cord of AS124 between pendants 11 and 12.
416,3008485,The main cord is tied to the main cord of AS124 between pendants 11 and 12.
417,3008546,Missing
418,3008600,Missing
419,3008662,"The Aschers list pendants 76, 76s1, and 76s2  but then give 76 and 76s1 each one subsidiary.  Thus, 76s2 is likely 76s1s1 instead."
420,3008687,Pendants 713 are irregularly attached to the main cord.  They have the appearance of being retied onto it.
421,3008688,Pendants 713 are irregularly attached to the main cord.  They have the appearance of being retied onto it.
422,3008689,Pendants 713 are irregularly attached to the main cord.  They have the appearance of being retied onto it.
423,3008690,Pendants 713 are irregularly attached to the main cord.  They have the appearance of being retied onto it.
424,3008691,Pendants 713 are irregularly attached to the main cord.  They have the appearance of being retied onto it.
425,3008692,Pendants 713 are irregularly attached to the main cord.  They have the appearance of being retied onto it.
426,3008693,Pendants 713 are irregularly attached to the main cord.  They have the appearance of being retied onto it.
427,3008742,"Pendants 6269 have been repaired where they are attached to the main cord.  Two detached pendants stored with the quipu may be associated with this group of pendants.  One of the fragments is KBW with value 12, and the other is KBW with value 40 and with "
428,3008744,Pendants 6269 have been repaired where they are attached to the main cord.  Two detached pendants may be from this group (see pendant 62 for further description).
429,3008745,Pendants 6269 have been repaired where they are attached to the main cord.  Two detached pendants may be from this group (see pendant 62 for further description).
430,3008746,Pendants 6269 have been repaired where they are attached to the main cord.  Two detached pendants may be from this group (see pendant 62 for further description).
431,3008747,Pendants 6269 have been repaired where they are attached to the main cord.  Two detached pendants may be from this group (see pendant 62 for further description).
432,3008748,Pendants 6269 have been repaired where they are attached to the main cord.  Two detached pendants may be from this group (see pendant 62 for further description).
433,3008749,Pendants 6269 have been repaired where they are attached to the main cord.  Two detached pendants may be from this group (see pendant 62 for further description).
434,3008861,"Pendants 181190 are KB joined to W.  However, all are broken just where the colors are joined."
435,3008862,"Pendants 181190 are KB joined to W.  However, all are broken just where the colors are joined."
436,3008863,"Pendants 181190 are KB joined to W.  However, all are broken just where the colors are joined."
437,3008864,"Pendants 181190 are KB joined to W.  However, all are broken just where the colors are joined."
438,3008865,"Pendants 181190 are KB joined to W.  However, all are broken just where the colors are joined."
439,3008866,"Pendants 181190 are KB joined to W.  However, all are broken just where the colors are joined."
440,3008867,"Pendants 181190 are KB joined to W.  However, all are broken just where the colors are joined."
441,3008868,"Pendants 181190 are KB joined to W.  However, all are broken just where the colors are joined."
442,3008869,"Pendants 181190 are KB joined to W.  However, all are broken just where the colors are joined."
443,3008870,"Pendants 181190 are KB joined to W.  However, all are broken just where the colors are joined."
444,3008879,"Pendant 199 is the same color as the pendants with which it is grouped, but it differs from them in texture.  It also differs from them in order of magnitude."
445,3008984,The twisted end of cord 1 is linked through the twisted end of the main cord so that it dangles from the end of the main cord.  (See diagram in Ascher and  Ascher 1987 for AS100.)
446,3009258,Missing
447,3009268,Missing
448,3009278,Missing
